Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Q1,Chrome 113.0.0.0,,,2023-06-01 15:43:46,2023-06-01 15:45:25,1m - 38.989s,PASSED
,,,,,,,
Test Cases/Q1,Chrome 113.0.0.0,,,2023-06-01 15:43:46,2023-06-01 15:44:54,1m - 7.357s,PASSED
"openBrowser(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/"")",Chrome 113.0.0.0,,,2023-06-01 15:43:47,2023-06-01 15:43:54,7.536s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-06-01 15:43:54,2023-06-01 15:43:55,0.232s,PASSED
"testData = [[""Christopher"", ""Connely"", ""L789C349""], [""Frank"", ""Christopher"", ""A897N450""], [""Christopher"", ""Minka"", ""M098Q585""], [""Connely"", ""Jackson"", ""L789C349""], [""Jackson"", ""Frank"", ""L789C349""], [""Minka"", ""Jackson"", ""A897N450""], [""Jackson"", ""Connely"", ""L789C349""]]",Chrome 113.0.0.0,,,2023-06-01 15:43:55,2023-06-01 15:43:55,0.002s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Bank Manager Login""))",Chrome 113.0.0.0,,,2023-06-01 15:43:55,2023-06-01 15:43:56,1.003s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/Page_XYZ Bank/button_Add Customer""))",Chrome 113.0.0.0,,,2023-06-01 15:43:56,2023-06-01 15:43:57,0.862s,PASSED
testData.each({ java.lang.Object data -> ... }),Chrome 113.0.0.0,,,2023-06-01 15:43:57,2023-06-01 15:44:31,34.024s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Customers""))",Chrome 113.0.0.0,,,2023-06-01 15:44:31,2023-06-01 15:44:31,0.229s,PASSED
allDataInserted = true,Chrome 113.0.0.0,,,2023-06-01 15:44:31,2023-06-01 15:44:31,0.001s,PASSED
testData.each({ java.lang.Object data -> ... }),Chrome 113.0.0.0,,,2023-06-01 15:44:31,2023-06-01 15:44:48,17.393s,PASSED
if (allDataInserted),Chrome 113.0.0.0,,,2023-06-01 15:44:48,2023-06-01 15:44:48,0.001s,PASSED
"deletedata = [[""Christopher"", ""Connely"", ""L789C349""], [""Jackson"", ""Frank"", ""L789C349""]]",Chrome 113.0.0.0,,,2023-06-01 15:44:48,2023-06-01 15:44:48,0.000s,PASSED
allDataDeleted = true,Chrome 113.0.0.0,,,2023-06-01 15:44:48,2023-06-01 15:44:48,0.001s,PASSED
deletedata.each({ java.lang.Object data -> ... }),Chrome 113.0.0.0,,,2023-06-01 15:44:48,2023-06-01 15:44:54,5.313s,PASSED
if (allDataDeleted),Chrome 113.0.0.0,,,2023-06-01 15:44:54,2023-06-01 15:44:54,0.004s,PASSED
,,,,,,,
Test Cases/Q2,Chrome 113.0.0.0,,,2023-06-01 15:44:54,2023-06-01 15:45:25,31.004s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-01 15:44:54,2023-06-01 15:44:57,2.943s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/"")",Chrome 113.0.0.0,,,2023-06-01 15:44:57,2023-06-01 15:44:58,1.074s,PASSED
"click(findTestObject(""Object Repository/Q2/Page_XYZ Bank/Page_XYZ Bank/Page_XYZ Bank/button_Customer Login""))",Chrome 113.0.0.0,,,2023-06-01 15:44:58,2023-06-01 15:44:59,1.134s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Q2/Page_XYZ Bank/Page_XYZ Bank/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""1"", true)",Chrome 113.0.0.0,,,2023-06-01 15:44:59,2023-06-01 15:45:01,1.660s,PASSED
"click(findTestObject(""Object Repository/Q2/Page_XYZ Bank/Page_XYZ Bank/Page_XYZ Bank/button_Login""))",Chrome 113.0.0.0,,,2023-06-01 15:45:01,2023-06-01 15:45:01,0.550s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Q2/Page_XYZ Bank/Page_XYZ Bank/Page_XYZ Bank/select_100110021003""), ""number:1003"", true)",Chrome 113.0.0.0,,,2023-06-01 15:45:01,2023-06-01 15:45:03,1.684s,PASSED
"INITIALBALANCE = getText(findTestObject(""Object Repository/Q2/Page_XYZ Bank/Page_XYZ Bank/strong_0""), STOP_ON_FAILURE).toInteger()",Chrome 113.0.0.0,,,2023-06-01 15:45:03,2023-06-01 15:45:03,0.495s,PASSED
"transactions = [50000, -3000, -2000, 5000, -10000, -15000, 1500]",Chrome 113.0.0.0,,,2023-06-01 15:45:03,2023-06-01 15:45:03,0.001s,PASSED
CURRENTBALANCE = INITIALBALANCE,Chrome 113.0.0.0,,,2023-06-01 15:45:03,2023-06-01 15:45:03,0.001s,PASSED
for (def transactionAmount : transactions),Chrome 113.0.0.0,,,2023-06-01 15:45:03,2023-06-01 15:45:24,20.373s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-06-01 15:45:24,2023-06-01 15:45:25,0.836s,PASSED
